"id" "species" "tot_photo" "nederNaam" "group" "family"
"323" "Argyrotaenia ljungiana" "0" "bruinbandbladroller" "micro" "Tortricidae"
"324" "Aristotelia brizella" "0" "kwelderpistoolmot" "micro" "Gelechiidae"
"325" "Aristotelia ericinella" "0" "heidepistoolmot" "micro" "Gelechiidae"
"326" "Aristotelia subdecurtella" "0" "echte pistoolmot" "micro" "Gelechiidae"
"327" "Aroga velocella" "0" "zuringpalpmot" "micro" "Gelechiidae"
"328" "Aspilapteryx tringipennella" "0" "weegbreesteltmot" "micro" "Gracillariidae"
"329" "Aspitates gilvaria" "0" "strogele spanner" "macro" "Geometridae"
"330" "Aspitates ochrearia" "394" "gele kustspanner" "macro" "Geometridae"
"331" "Assara terebrella" "0" "fijnsparkegelmot" "micro" "Pyralidae"
"332" "Asteroscopus sphinx" "966" "kromzitter" "macro" "Noctuidae"
"333" "Asthena albulata" "147" "wit spannertje" "macro" "Geometridae"
"334" "Asthena anseraria" "5" "kornoeljespanner" "macro" "Geometridae"
"335" "Atemelia torquatella" "0" "vanillevlekje" "micro" "Praydidae"
"336" "Atethmia centrago" "989" "essengouduil" "macro" "Noctuidae"
"337" "Athetis gluteosa" "0" "bleke stofuil" "macro" "Noctuidae"
"338" "Athetis hospes" "0" "vale stofuil" "macro" "Noctuidae"
