species, gbif_key
Diplopseustis perieresalis, 1882905
Ditula angustiorana, 1741056
Diurnea fagella, 1841296
Diurnea lipsiella, 4528593
Dolicharthria punctalis, 4532160
Donacaula forficella, 4531708
Donacaula mucronella, 1884212
Dryadaula heindeli, 1856909
Dryadaula pactolia, 1856893
Duponchelia fovealis, 1879452
Dyseriocrania subpurpurella, 1731860
Eana argentana, 1746666
Eana incanana, 1746644
Eana osseana, 1746613
Eccopisa effractella, 1871826
Ectoedemia albifasciella, 1735844
Ectoedemia angulifasciella, 1735847
Ectoedemia arcuatella, 1735823
Ectoedemia argyropeza, 1735850
Ectoedemia atricollis, 1735839
Ectoedemia atrifrontella, 9300880
Ectoedemia hannoverella, 4527277
Ectoedemia heringi, 4527229
Ectoedemia intimella, 1735818
Ectoedemia longicaudella, 9422163
Ectoedemia minimella, 4527265
Ectoedemia occultella, 4527235
Ectoedemia quinquella, 1735827
Ectoedemia rubivora, 1735864
Ectoedemia septembrella, 9359597
Ectoedemia spinosella, 4527225
Ectoedemia subbimaculella, 1735855
Ectoedemia turbidella, 4527259
Ectoedemia weaveri, 9325635
Eidophasia messingiella, 1830879
Elachista adscitella, 1832915
Elachista albidella, 1833131
Elachista albifrontella, 5880257
Elachista alpinella, 5880260
Elachista apicipunctella, 1832927
Elachista argentella, 1832853
Elachista arnoldi, 6097229
Elachista atricomella, 1833084
Elachista biatomella, 1832862
Elachista bifasciella, 6097230
Elachista bisulcella, 1832819
Elachista canapennella, 5880258
Elachista chrysodesmella, 1832845
Elachista consortella, 1832989
Elachista dispilella, 1832925
Elachista distigmatella, 8059486
Elachista eleochariella, 1833167
Elachista exactella, 6097226
Elachista freyerella, 1833195
Elachista gangabella, 1832831
Elachista geminatella, 6097227
Elachista gleichenella, 8174448
Elachista humilis, 1833159
Elachista kilmunella, 1833114
Elachista lastrella, 7586066
Elachista luticomella, 1833123
Elachista maculicerusella, 6097228
Elachista metella, 7914729
Elachista nobilella, 1832840
Elachista orstadii, 1832998
Elachista poae, 1833125
Elachista pollinariella, 1833096
Elachista pomerana, 1833065
Elachista pullicomella, 1832936
Elachista rufocinerea, 1833004
Elachista scirpi, 1832901
Elachista serricornis, 1832856
Elachista stabilella, 1833015
Elachista subalbidella, 6097225
Elachista subnigrella, 1833179
Elachista subocellea, 1833153
Elachista utonella, 1833108
Elegia similella, 1876623
Elophila nymphaeata, 5884851
Elophila rivulalis, 6097220
Emmelina monodactyla, 1859046
Enarmonia formosana, 1744416
Endothenia ericetana, 1741725
Endothenia gentianaeana, 4530424
Endothenia marginana, 1741748
Endothenia nigricostana, 1741756
Endothenia oblongana, 1741771
Endothenia pullana, 4530418
Endothenia quadrimaculana, 1741752
Endothenia ustulana, 1741765
Endotricha flammealis, 5125689
Endrosis sarcitrella, 1837172
Epagoge grotiana, 1746413
Epermenia aequidentellus, 1869450
Epermenia chaerophyllella, 100451288
Epermenia falciformis, 1869489
Epermenia illigerella, 1869489
Ephestia elutella, 1878470
Ephestia kuehniella, 1878490
Ephestia unicolorella, 1878469
Epiblema cirsiana, 1743560
Epiblema cnicicolana, 1743555
Epiblema costipunctana, 1743619
Epiblema foenella, 1743532
Epiblema grandaevana, 1743604
Epiblema graphana, 1743564
Epiblema hepaticana, 1743546
Epiblema scutulana, 1743588
Epiblema sticticana, 6097235
Epiblema turbidana, 1743613
Epicallima formosella, 5119893
Epichnopterix plumella, 1854347
Epichoristodes acerbella, 1744658
Epinotia abbreviana, 1745678
Epinotia bilunana, 1745600
Epinotia brunnichana, 1745816
Epinotia caprana, 1745683
Epinotia cinereana, 1745756
Epinotia cruciana, 1745830
Epinotia demarniana, 1745676
Epinotia fraternana, 1745725
Epinotia granitana, 1745762
Epinotia immundana, 1745643
Epinotia maculana, 1745771
Epinotia nanana, 1745787
Epinotia nigricana, 1745646
Epinotia nisella, 1745634
Epinotia pusillana, 1745650
Epinotia pygmaeana, 8162538
Epinotia ramella, 1745561
Epinotia rubiginosana, 1745788
Epinotia signatana, 1745636
Epinotia solandriana, 1745558
Epinotia sordidana, 1745623
Epinotia subocellana, 1745579
Epinotia subsequana, 1745805
Epinotia tedella, 1745737
Epinotia tenerana, 1745705
Epinotia tetraquetrana, 1745630
Epinotia thapsiana, 1745781
Epinotia trigonella, 1745724
Epiphyas postvittana, 1737131
Epischnia prodromella, 1877092
Eratophyes amasiella, 1835407
Eriocrania cicatricella, 1731837
Eriocrania salopiella, 1731834
Eriocrania sangii, 1731820
Eriocrania semipurpurella, 1731826
Eriocrania sparrmannella, 1731837
Eriopsela quadrana, 1741551
Esperia sulphurella, 5770913
Etainia decentella, 9530977
Etainia louisella, 1735870
Etainia sericopeza, 9400895
Ethmia bipunctella, 1845270
Ethmia dodecea, 1845565
Ethmia quadrillella, 4529566
Ethmia terminella, 1845368
Etiella zinckenella, 1870450
Euchromius ocellea, 1891167
Eucosma aemulana, 5103462
Eucosma balatonana, 5103905
Eucosma campoliliana, 5771350
Eucosma cana, 5103451
Eucosma conterminana, 5103948
Eucosma hohenwartiana, 5103421
Eucosma lacteana, 5103383
Eucosma metzneriana, 5103736
Eucosma obumbratana, 5103502
Eucosma pupillana, 5103613
Eucosma rubescana, 7975250
Eucosma tripoliana, 5103443
Eucosma wimmerana, 5103703
Eucosmomorpha albersana, 7964262
Eudemis porphyrana, 8313553
Eudemis profundana, 1743196
Eudonia angustea, 1879691
Eudonia delunella, 1879735
Eudonia lacustrata, 1879731
Eudonia lineola, 1879655
Eudonia mercurella, 1879765
Eudonia pallida, 1879630
Eudonia truncicolella, 1879630
Eulamprotes atrella, 11052757
Eulamprotes immaculatella, 10976325
Eulamprotes superbella, 11054355
Eulamprotes unicolorella, 10968699
Eulamprotes wilkella, 11080751
Eulia ministrana, 1744071
Eupoecilia ambiguella, 5103998
Eupoecilia angustana, 5104015
Eupoecilia sanguisorbana, 5104037
Eurrhypis pollinalis, 1885937
Euspilapteryx auroguttella, 5104759
Euzophera fuliginosella, 1875429
Euzophera osseatella, 1875425
Euzophera pinguis, 1875327
Evergestis aenealis, 1891426
Evergestis extimalis, 1891473
Evergestis forficalis, 4532022
Evergestis limbata, 1891494
Evergestis pallidata, 1891493
Exaeretia allisella, 1839293
Exapate congelatella, 1744224
Exoteleia dodecella, 1848636
